RowNum,BirthYear,animalGender,AnimalName,ZipCode,DogCount
1,2018,F,SNOW,7840,1
1,2018,F,BAILEY,10001,2
1,2018,F,BELLA,10002,3
1,2018,F,LUNA,10003,2
1,2018,F,DAISY,10004,1
1,2018,F,LILY,10005,3
1,2018,F,BUFFY,10006,1
1,2018,F,DAISY,10007,2
1,2018,F,LUNA,10009,6
1,2018,F,HAVANESE,10010,2
1,2018,F,ELLIE,10011,3
1,2018,F,LUCY,10012,2
1,2018,F,PENNY,10013,3
1,2018,F,LUNA,10014,3
1,2018,F,PENNY,10016,4
1,2018,F,ABBY,10017,1
1,2018,F,GIA,10018,2
1,2018,F,BAILEY,10019,2
1,2018,F,BELLA,10020,1
1,2018,F,LUCY,10021,3
1,2018,F,LUNA,10022,2
1,2018,F,LUCY,10023,3
1,2018,F,ROSIE,10024,3
1,2018,F,CHELSEA,10025,2
1,2018,F,BAILEY,10026,1
1,2018,F,AMORA,10027,1
1,2018,F,CHLOE,10028,2
1,2018,F,BELLA,10029,4
1,2018,F,ABBY,10030,1
1,2018,F,JUNO,10031,2
1,2018,F,BELLA,10032,2
1,2018,F,MORKIE,10033,2
1,2018,F,LOLA,10034,3
1,2018,F,ABBY,10035,1
1,2018,F,SOPHIE,10036,2
1,2018,F,BABY,10037,1
1,2018,F,LOLA,10038,2
1,2018,F,ALANI,10039,1
1,2018,F,LILY,10040,2
1,2018,F,AZKA,10044,1
1,2018,F,HAVANESE,10045,1
1,2018,F,LUNA,10065,4
1,2018,F,LUNA,10069,2
1,2018,F,BELLA,10075,3
1,2018,F,BUTTER,10111,1
1,2018,F,GIDGET,10115,1
1,2018,F,BEATRICE,10116,1
1,2018,F,LUNA,10128,10
1,2018,F,DAKOTA,10176,1
1,2018,F,FOZZIE,10280,1
1,2018,F,ATHENA,10282,1
1,2018,F,BELLA,10301,2
1,2018,F,MORA,10302,2
1,2018,F,BANDIT,10303,1
1,2018,F,KOH,10304,2
1,2018,F,ARIES,10305,1
1,2018,F,BELLA,10306,3
1,2018,F,BUG,10307,1
1,2018,F,GIGI,10308,2
1,2018,F,LOLA,10309,3
1,2018,F,BAILEY,10310,1
1,2018,F,BAILEY,10312,2
1,2018,F,LUNA,10314,4
1,2018,F,BELLA,10451,1
1,2018,F,LUNA,10452,2
1,2018,F,GUCCI,10453,2
1,2018,F,BELLA,10454,3
1,2018,F,ABBY,10455,1
1,2018,F,MADDIE,10456,2
1,2018,F,AVILES,10457,1
1,2018,F,BELLA,10458,3
1,2018,F,CARTAGENA,10459,1
1,2018,F,LUNA,10460,3
1,2018,F,LOLA,10461,3
1,2018,F,BROWNIE,10462,2
1,2018,F,LLUVIA,10463,2
1,2018,F,BEANY,10464,1
1,2018,F,BELLA,10465,2
1,2018,F,ARCE,10466,1
1,2018,F,BELLA,10467,3
1,2018,F,BELLA,10468,3
1,2018,F,LUCY,10469,2
1,2018,F,FOXY,10470,1
